report_date,ndx_wdi,ndx_wdi_raw,correction_points,correction_method,correction_ratio_median,coverage_ratio,qqq_equity_count,spgm_equity_count,matched_count,estimated_count,excluded_qqq_count,excluded_non_comparable_count,qqq_matched_weight,spgm_matched_weight,rebalance_type,qqq_accession,spgm_accession,qqq_filed_date,spgm_filed_date
2022-03-31,16.6704521725,14.1065191266,2.5639330459,median_observed_overweight_ratio,2.36641060123,0.9189076046,102,1002,74,26,28,2,0.912713172957,0.23056007757,quarterly_rebalance,0001752724-22-116978,0001752724-22-127638,2022-05-24,2022-05-27
2022-06-30,17.3097939879,14.2656867594,3.04410722854,median_observed_overweight_ratio,2.45274873801,0.911348519922,102,1025,74,25,28,3,0.903329020099,0.212064691295,quarterly_rebalance,0001752724-22-184608,0001752724-22-197044,2022-08-22,2022-08-26
2022-09-30,17.7043541087,14.3995257584,3.30482835023,median_observed_overweight_ratio,2.48716784264,0.907593852489,102,1036,74,25,28,3,0.900684073402,0.222173278308,quarterly_rebalance,0001752724-22-266948,0001752724-22-271210,2022-11-25,2022-11-28
2022-12-31,16.2102390874,13.8347131159,2.37552597158,median_observed_overweight_ratio,2.02025102053,0.904622539109,101,982,73,26,28,2,0.89833339788,0.198333771164,annual_reconstitution,0001752724-23-047901,0001752724-23-046876,2023-02-28,2023-02-28
2023-03-31,15.637597629,13.4788080711,2.1587895579,median_observed_overweight_ratio,2.09527710243,0.917522243336,101,1030,76,23,25,2,0.911676318782,0.222537760824,quarterly_rebalance,0001752724-23-124038,0001752724-23-123972,2023-05-30,2023-05-30
2023-06-30,14.7412369742,13.4742910626,1.26694591157,median_observed_overweight_ratio,2.19004487385,0.949848031689,101,1026,82,17,19,2,0.944705608746,0.241762760329,quarterly_rebalance,0001752724-23-198395,0001752724-23-196511,2023-08-29,2023-08-28
2023-09-30,19.893441376,18.4931785138,1.40026286217,median_observed_overweight_ratio,2.37730479089,0.947965166241,101,1102,84,15,17,2,0.942438820919,0.242600290743,special_rebalance,0001752724-23-269960,0001752724-23-267652,2023-11-28,2023-11-28
2023-12-31,22.9358480122,21.8162546554,1.11959335679,median_observed_overweight_ratio,2.24695409824,0.937251892628,101,1063,82,18,19,1,0.931887935696,0.246577173277,annual_reconstitution,0001752724-24-049569,0001752724-24-043338,2024-02-29,2024-02-27
2024-03-31,22.7760335961,21.2475683277,1.52846526834,median_observed_overweight_ratio,2.26780432226,0.923856107923,101,1044,81,19,20,1,0.91797933316,0.252414855074,quarterly_rebalance,0001752724-24-126831,0001752724-24-122750,2024-05-29,2024-05-28
2024-06-30,22.3369370786,20.8471867331,1.48975034552,median_observed_overweight_ratio,2.37450890086,0.93236922748,102,1005,82,18,20,2,0.920727517939,0.276730270038,quarterly_rebalance,0001752724-24-196011,0001752724-24-196587,2024-08-28,2024-08-28
2024-09-30,21.4666072447,20.5369349898,0.9296722549,median_observed_overweight_ratio,1.8801857882,0.932444161918,101,1056,81,18,20,2,0.927375572653,0.26349353097,quarterly_rebalance,0001752724-24-274837,0001752724-24-264685,2024-11-27,2024-11-25
2024-12-31,20.5042280848,19.5350384289,0.969189655876,median_observed_overweight_ratio,1.88210590416,0.937219077065,101,1103,81,18,20,2,0.932934915159,0.28778327552,annual_reconstitution,0001752724-25-039757,0001752724-25-043821,2025-02-26,2025-02-27
2025-03-31,21.2888741919,20.5022420088,0.786632183115,median_observed_overweight_ratio,1.83496607437,0.935490224918,101,1097,82,17,19,2,0.93070984466,0.260840978657,quarterly_rebalance,0001752724-25-127952,0001752724-25-125217,2025-05-29,2025-05-28
2025-06-30,21.3204348142,20.6158272962,0.70460751798,median_observed_overweight_ratio,1.88607424806,0.944312431886,101,1065,82,17,19,2,0.939061722721,0.283991800417,quarterly_rebalance,0001752724-25-211318,0001752724-25-211169,2025-08-28,2025-08-28
2025-09-30,20.7444344275,20.1361878278,0.608246599746,median_observed_overweight_ratio,1.80676032579,0.950278650189,101,1098,83,16,18,2,0.94494408562,0.29254324946,quarterly_rebalance,0001067839-25-000007,0001410368-25-031932,2025-11-19,2025-11-26
2025-12-31,22.8419353306,22.1189899611,0.72294536951,median_observed_overweight_ratio,1.91008870317,0.946861980389,101,1099,83,16,18,2,0.939511876445,0.294604397316,annual_reconstitution,0001067839-26-000016,0001410368-26-020054,2026-02-27,2026-02-26
2026-03-31,23.5766528901,23.0833614811,0.493291409061,median_observed_overweight_ratio,1.85992323739,0.946578747645,100,1080,83,15,17,2,0.93563906329,0.281194014045,quarterly_rebalance,0001067839-26-000024,0001410368-26-055355,2026-05-28,2026-05-28
